R device_connect OK
R device_subscribe gsr OK
E4_Bvp 1502566023.84344 7.459194
E4_Bvp 1502566023.85907 4.562479
E4_Bvp 1502566023.8747 0.5111036
E4_Bvp 1502566023.89032 -2.213647
E4_Gsr 1502566180.916 0
E4_Gsr 1502566181.166 0
E4_Gsr 1502566181.416 0
E4_Gsr 1502566181.666 0
E4_Gsr 1502566181.916 0
E4_Gsr 1502566182.166 0
E4_Bvp 1502566023.90595 -1.927266
E4_Bvp 1502566023.92157 1.21754
E4_Bvp 1502566023.9372 5.303509
E4_Bvp 1502566023.95282 7.838591
E4_Bvp 1502566023.96845 7.133265
E4_Bvp 1502566023.98408 3.356868
E4_Bvp 1502566023.9997 -1.483553
E4_Bvp 1502566024.01533 -4.770783
E4_Bvp 1502566024.03095 -4.747611
E4_Bvp 1502566024.04658 -1.444209
E4_Bvp 1502566024.0622 3.336436
E4_Bvp 1502566024.07783 6.890197
E4_Bvp 1502566024.09346 7.295382
E4_Bvp 1502566024.10908 4.4314
E4_Bvp 1502566024.12471 0.05195475
E4_Bvp 1502566024.14033 -3.385118
E4_Bvp 1502566024.15596 -4.131532
E4_Bvp 1502566024.17158 -2.120583
E4_Bvp 1502566024.18721 1.134392
E4_Bvp 1502566024.20284 3.470457
E4_Bvp 1502566024.21846 3.223938
E4_Bvp 1502566024.23409 0.2628063
E4_Bvp 1502566024.24971 -3.92262
E4_Bvp 1502566024.26534 -7.177074
E4_Bvp 1502566024.28096 -7.947888
E4_Bvp 1502566024.29659 -6.218118
E4_Bvp 1502566024.31222 -3.465018
E4_Bvp 1502566024.32784 -1.49286
E4_Bvp 1502566024.34347 -1.460614
E4_Bvp 1502566024.35909 -3.490989
E4_Bvp 1502566024.37472 -6.463657
E4_Bvp 1502566024.39034 -8.651361
E4_Bvp 1502566024.40597 -8.810047
E4_Bvp 1502566024.4216 -7.078808
E4_Bvp 1502566024.43722 -4.985231
E4_Bvp 1502566024.45285 -4.486969
E4_Bvp 1502566024.46847 -6.047788
E4_Bvp 1502566024.4841 -8.574549
E4_Bvp 1502566024.49972 -10.73863
E4_Bvp 1502566024.51535 -11.46343
E4_Bvp 1502566024.53098 -10.21774
E4_Bvp 1502566024.5466 -7.691363
E4_Bvp 1502566024.56223 -5.786055
E4_Bvp 1502566024.57785 -6.668151
E4_Bvp 1502566024.59348 -11.35744
E4_Bvp 1502566024.6091 -17.46492
E4_Bvp 1502566024.62473 -21.02358
E4_Bvp 1502566024.64036 -20.19416
E4_Bvp 1502566024.65598 -15.74036
E4_Bvp 1502566024.67161 -9.82725
E4_Bvp 1502566024.68723 -5.511703
E4_Bvp 1502566024.70286 -5.664497
E4_Bvp 1502566024.71848 -11.71103
E4_Bvp 1502566024.73411 -22.68565
E4_Bvp 1502566024.74974 -33.16413
